,name ,serving_size,calories,total_fat,saturated_fat,cholesterol,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_e,tocopherol_alpha,vitamin_k,carbohydrate,fiber,sugars,fat
181,"Barley, raw, pearled",100 g,352,1.2g,0.2g,0,22,1,0,0.26,0,0.02,0.02,2.2,77.72 g,15.6 g,0.80 g,1.16 g
182,"Polish sausage, pork",100 g,326,29g,10g,70,0,0,0.98,0.19,1,0,0,0,1.63 g,0.0 g,0,28.72 g
183,"Spices, curry powder",100 g,325,14g,1.6g,0,19,1,0,0.105,0.7,25.24,25.24,99.8,55.83 g,53.2 g,2.76 g,14.01 g
184,"Bacon bits, meatless",100 g,476,26g,4.1g,0,0,0,1.2,0.08,1.9,6.9,6.9,0,28.60 g,10.2 g,0.00 g,25.90 g
185,"Semolina, unenriched",100 g,360,1.1g,0.2g,0,0,0,0,0.103,0,0,0,0,72.83 g,3.9 g,0,1.05 g
186,"Grape leaves, canned",100 g,69,2g,0.3g,0,5253,263,0,0.136,11.3,1.79,1.79,97.3,11.71 g,9.9 g,0,1.97 g
187,"Spices, ground, sage",100 g,315,13g,7g,0,5900,295,0,2.69,32.4,7.48,7.48,1714.5,60.73 g,40.3 g,1.71 g,12.75 g
188,"PACE, Red Taco Sauce",100 g,50,0g,,0,625,0,0,0,0,0,0,0,12.50 g,0.0 g,6.25 g,0.00 g
189,"DENNY'S, hash browns",100 g,197,9g,1.7g,0,0,0,0,0.203,0,0.55,0.55,32.6,26.59 g,2.7 g,1.38 g,8.99 g
190,"DENNY'S, onion rings",100 g,385,22g,3.7g,0,5,0,0,0.089,0,1.23,1.23,50.6,41.05 g,2.4 g,4.76 g,22.23 g
191,"Ostrich, raw, oyster",100 g,125,3.7g,1.2g,73,0,0,4.91,0.507,0,0.2,0.2,0,0.00 g,0.0 g,0.00 g,3.67 g
192,"Oil, corn and canola",100 g,884,100g,8g,0,0,0,0,0,0,14.84,14.84,42.2,0.00 g,0.0 g,0.00 g,100.00 g
193,"Pumpkin flowers, raw",100 g,15,0.1g,,0,1947,97,0,0,28,0,0,0,3.28 g,0,0,0.07 g
194,"Celery flakes, dried",100 g,319,2.1g,0.6g,0,1962,98,0,0.46,86.5,5.55,5.55,584.2,63.70 g,27.8 g,35.90 g,2.10 g
195,"Crackers, egg, matzo",100 g,391,2.1g,0.5g,83,42,13,0.19,0.054,0.1,0,0,0,78.60 g,2.8 g,0,2.10 g
196,"Loganberries, frozen",100 g,55,0.3g,,0,35,2,0,0.065,15.3,0.87,0.87,7.8,13.02 g,5.3 g,7.70 g,0.31 g
197,"Tangerine juice, raw",100 g,43,0.2g,,0,253,13,0,0.042,31,0.13,0.13,0,10.10 g,0.2 g,9.90 g,0.20 g
198,"Soybeans, raw, green",100 g,147,6.8g,0.8g,0,180,9,0,0.065,29,0,0,0,11.05 g,4.2 g,0,6.80 g
199,"Soybean, curd cheese",100 g,151,8.1g,1.2g,0,42,2,0,0.07,0,0.6,0.6,4.6,6.90 g,0.0 g,1.60 g,8.10 g
200,"Game meat, raw, bear",100 g,161,8.3g,,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,8.30 g
201,"Game meat, raw, deer",100 g,120,2.4g,1g,85,0,0,6.31,0.37,0,0.2,0.2,1.1,0.00 g,0.0 g,0.00 g,2.42 g
202,"Oranges, navels, raw",100 g,49,0.2g,,0,247,12,0,0.079,59.1,0.15,0.15,0,12.54 g,2.2 g,8.50 g,0.15 g
203,"Tostada shells, corn",100 g,474,23g,7g,0,0,0,0,0.363,0,0,0,0,64.43 g,5.8 g,0,23.38 g
204,"Fish, raw, swordfish",100 g,144,6.7g,1.6g,66,120,36,1.7,0.543,0,2.02,2.02,0.1,0.00 g,0.0 g,0.00 g,6.65 g
205,"Taro, raw, tahitian",100 g,44,1g,0.2g,0,2045,102,0,0.116,96,0,0,0,6.91 g,0,0,0.97 g
206,"Chicory greens, raw",100 g,23,0.3g,0.1g,0,5717,286,0,0.105,24,2.26,2.26,297.6,4.70 g,4.0 g,0.70 g,0.30 g
207,"Hearts of palm, raw",100 g,115,0.2g,,0,68,3,0,0.81,8,0.5,0.5,0,25.61 g,1.5 g,17.16 g,0.20 g
208,"Chayote, raw, fruit",100 g,19,0.1g,,0,0,0,0,0.076,7.7,0.12,0.12,4.1,4.51 g,1.7 g,1.66 g,0.13 g
209,"Fish, smoked, cisco",100 g,177,12g,1.7g,32,943,283,4.26,0.268,0,0.22,0.22,0.1,0.00 g,0.0 g,0.00 g,11.90 g
210,"Frankfurter, turkey",100 g,223,17g,4g,77,0,0,0.82,0.143,0,0.62,0.62,0,3.81 g,0.0 g,1.21 g,17.29 g
211,"Candies, jellybeans",100 g,375,0.1g,,0,0,0,0,0.004,0,0,0,0,93.55 g,0.2 g,70.00 g,0.05 g
212,"Oil, ucuhuba butter",100 g,884,100g,85g,0,0,0,0,0,0,0.6,0.6,0,0.00 g,0.0 g,0.00 g,100.00 g
213,Soy protein isolate,100 g,335,3.4g,0.4g,0,0,0,0,0.1,0,0,0,0,0.00 g,0.0 g,0.00 g,3.39 g
214,"Syrups, light, corn",100 g,283,0.2g,,0,0,0,0,0,0,0,0,0,76.79 g,0.0 g,76.77 g,0.20 g
215,"Fish, raw, milkfish",100 g,148,6.7g,1.7g,52,100,30,3.4,0.423,0,0,0,0,0.00 g,0.0 g,0,6.73 g
216,"Fish, raw, monkfish",100 g,76,1.5g,0.3g,25,40,12,0.9,0.24,1,0,0,0,0.00 g,0.0 g,0,1.52 g
217,"Mother's loaf, pork",100 g,282,22g,8g,45,0,0,1.05,0.18,1,0,0,0,7.53 g,0.0 g,0,22.30 g
218,"Tapioca, dry, pearl",100 g,358,0g,,0,0,0,0,0.008,0,0,0,0,88.69 g,0.9 g,3.35 g,0.02 g
219,"Guavas, raw, common",100 g,68,1g,0.3g,0,624,31,0,0.11,228.3,0.73,0.73,2.6,14.32 g,5.4 g,8.92 g,0.95 g
220,"Spices, celery seed",100 g,392,25g,2.2g,0,52,3,0,0.89,17.1,1.07,1.07,0,41.35 g,11.8 g,0.67 g,25.27 g
221,"Candies, peanut bar",100 g,522,34g,4.7g,0,0,0,0,0.153,0,4.1,4.1,0,47.40 g,4.1 g,42.22 g,33.70 g
222,"Bread, toasted, rye",100 g,284,3.6g,0.7g,0,4,0,0,0.074,0.2,0.37,0.37,1.3,53.10 g,6.4 g,4.23 g,3.60 g
223,"Oil, apricot kernel",100 g,884,100g,6.3g,0,0,0,0,0,0,4,4,0,0.00 g,0.0 g,0.00 g,100.00 g
224,"Candies, YORK BITES",100 g,394,7.3g,4.4g,1,7,0,0,0,0,0,0,0,81.64 g,2.0 g,75.00 g,7.32 g
225,"Meatballs, meatless",100 g,197,9g,1.4g,0,0,0,1.5,0.2,0,1.73,1.73,0,8.00 g,4.6 g,1.25 g,9.00 g
226,"Emu, raw, full rump",100 g,112,1.6g,0.4g,85,15,4,2.24,0.643,0,0.23,0.23,0,0.00 g,0.0 g,0.00 g,1.64 g
227,"Mustard greens, raw",100 g,27,0.4g,,0,3024,151,0,0.18,70,2.01,2.01,257.5,4.67 g,3.2 g,1.32 g,0.42 g
228,"Seaweed, raw, laver",100 g,35,0.3g,0.1g,0,5202,260,0,0.159,39,1,1,4,5.11 g,0.3 g,0.49 g,0.28 g
229,"Sweet rolls, cheese",100 g,360,18g,6.1g,76,254,0,0.3,0.069,0.2,0,0,0,43.70 g,1.2 g,0,18.30 g
230,"Figs, stewed, dried",100 g,107,0.4g,0.1g,0,4,0,0,0.133,4.4,0.15,0.15,6.7,27.57 g,4.2 g,23.35 g,0.40 g
231,"Bread sticks, plain",100 g,412,9.5g,1.4g,0,0,0,0,0.073,0,1.01,1.01,2.2,68.40 g,3.0 g,1.26 g,9.50 g
232,"SILK Mocha, soymilk",100 g,58,1.4g,0.2g,0,123,0,0.37,0,0,0,0,0,9.05 g,0.0 g,7.41 g,1.44 g
233,Milk and cereal bar,100 g,413,11g,9.1g,6,627,188,2,0.819,15.4,0.42,0.42,2.5,72.05 g,0.4 g,45.97 g,10.98 g
234,"Bread, pumpernickel",100 g,250,3.1g,0.4g,0,0,0,0,0.126,0,0.42,0.42,0.8,47.50 g,6.5 g,0.53 g,3.10 g
235,"Game meat, raw, elk",100 g,111,1.5g,0.5g,55,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,1.45 g
236,"PACE, Pico De Gallo",100 g,31,0g,,0,313,0,0,0,3.8,0,0,0,9.38 g,0,6.25 g,0.00 g
237,"Ostrich, raw, round",100 g,116,2.4g,0.8g,71,0,0,5.01,0.517,0,0.2,0.2,0,0.00 g,0.0 g,0.00 g,2.40 g
238,"HORMEL, Cure 81 Ham",100 g,106,3.6g,1.2g,51,0,0,0,0,1.6,0,0,0,0.21 g,0,0.00 g,3.59 g
239,"Prune juice, canned",100 g,71,0g,,0,3,0,0,0.218,4.1,0.12,0.12,3.4,17.45 g,1.0 g,16.45 g,0.03 g
240,"McDONALD'S, BIG MAC",100 g,257,15g,3.8g,36,188,0,0.88,0,0.4,0,0,0,20.08 g,1.6 g,3.97 g,14.96 g
241,"Soy flour, defatted",100 g,327,1.2g,0.1g,0,40,2,0,0.574,0,0.12,0.12,4.1,33.92 g,17.5 g,16.42 g,1.22 g
242,"Bread, toasted, egg",100 g,315,6.6g,1.6g,56,231,69,0.11,0.064,0,0.29,0.29,1,52.60 g,2.5 g,1.94 g,6.60 g
243,"Fish, raw, mahimahi",100 g,85,0.7g,0.2g,73,180,54,0.6,0.4,0,0,0,0,0.00 g,0.0 g,0,0.70 g
244,"Fish, raw, bluefish",100 g,124,4.2g,0.9g,59,398,120,5.39,0.402,0,0,0,0,0.00 g,0.0 g,0,4.24 g
245,"Spices, fennel seed",100 g,345,15g,0.5g,0,135,7,0,0.47,21,0,0,0,52.29 g,39.8 g,0,14.87 g
246,"Potatoes, skin, raw",100 g,58,0.1g,,0,0,0,0,0.239,11.4,0,0,0,12.44 g,2.5 g,0,0.10 g
247,"Pepper, raw, banana",100 g,27,0.5g,,0,340,17,0,0.357,82.7,0.69,0.69,9.5,5.35 g,3.4 g,1.95 g,0.45 g
248,"Drumstick pods, raw",100 g,37,0.2g,,0,74,4,0,0.12,141,0,0,0,8.53 g,3.2 g,0,0.20 g
249,"Toppings, pineapple",100 g,253,0.1g,,0,17,1,0,0.028,3.1,0.01,0.01,0.2,66.40 g,0.4 g,21.01 g,0.10 g
250,Acorn stew (Apache),100 g,95,3.5g,1.3g,20,0,0,0.68,0.055,0,0.3,0.3,0,9.22 g,0.7 g,0.34 g,3.47 g
251,"Tomatoes, sun-dried",100 g,258,3g,0.4g,0,874,44,0,0.332,39.2,0.01,0.01,43,55.76 g,12.3 g,37.59 g,2.97 g
252,"Guava sauce, cooked",100 g,36,0.1g,,0,283,14,0,0.09,146.4,0.55,0.55,1.9,9.48 g,3.6 g,5.88 g,0.14 g
253,"Pumpkin leaves, raw",100 g,19,0.4g,0.2g,0,1942,97,0,0.207,11,0,0,0,2.33 g,0,0,0.40 g
254,"Melons, raw, casaba",100 g,28,0.1g,,0,0,0,0,0.163,21.8,0.05,0.05,2.5,6.58 g,0.9 g,5.69 g,0.10 g
255,"Melon balls, frozen",100 g,33,0.3g,0.1g,0,1774,89,0,0.106,6.2,0,0,0,7.94 g,0.7 g,0,0.25 g
256,"Fish oil, cod liver",100 g,902,100g,23g,570,100000,30000,0,0,0,0,0,0,0.00 g,0.0 g,0,100.00 g
257,"Nuts, dried, acorns",100 g,509,31g,4.1g,0,0,0,0,0.695,0,0,0,0,53.66 g,0,0,31.41 g
258,"Rolls, pumpernickel",100 g,276,2.8g,0.5g,0,6,0,0,0.1,0,0.63,0.63,1.5,51.87 g,5.4 g,0.40 g,2.80 g
259,"Gravy, dry, chicken",100 g,381,9.7g,2.9g,19,308,38,0.48,0.202,0.6,0,0,0,62.09 g,0,0,9.73 g
260,"Fish, raw, tilefish",100 g,96,2.3g,0.4g,50,60,18,2.2,0.26,0,0,0,0,0.00 g,0.0 g,0,2.31 g
261,"Ice creams, vanilla",100 g,207,11g,6.8g,44,421,118,0.39,0.048,0.6,0.3,0.3,0.3,23.60 g,0.7 g,21.22 g,11.00 g
262,"SILK Plain, soymilk",100 g,41,1.7g,0.2g,0,206,0,1.23,0,0,0,0,0,3.29 g,0.4 g,2.47 g,1.65 g
263,"Cabbage, raw, savoy",100 g,27,0.1g,,0,1000,50,0,0.19,31,0.17,0.17,68.8,6.10 g,3.1 g,2.27 g,0.10 g
264,"Fish, raw, tilapia",100 g,96,1.7g,0.6g,50,0,0,1.58,0.162,0,0.4,0.4,1.4,0.00 g,0.0 g,0.00 g,1.70 g
265,"Broccoli raab, raw",100 g,22,0.5g,0.1g,0,2622,131,0,0.171,20.2,1.62,1.62,224,2.85 g,2.7 g,0.38 g,0.49 g
266,"Corn grain, yellow",100 g,365,4.7g,0.7g,0,214,11,0,0.622,0,0.49,0.49,0.3,74.26 g,7.3 g,0.64 g,4.74 g
267,"Turtle, raw, green",100 g,89,0.5g,0.1g,50,100,30,1,0.12,0,0.5,0.5,0.1,0.00 g,0.0 g,0.00 g,0.50 g
268,"Chicory roots, raw",100 g,72,0.2g,,0,6,0,0,0.241,5,0,0,0,17.51 g,1.5 g,8.73 g,0.20 g
269,Ice cream sandwich,100 g,237,8.6g,2.3g,21,286,86,0.05,0.028,0,0.4,0.4,1.3,37.14 g,0.0 g,18.57 g,8.57 g
270,"Croutons, seasoned",100 g,465,18g,5.2g,7,32,7,0.14,0.083,0,0.4,0.4,7.6,63.50 g,5.0 g,4.41 g,18.30 g
271,"Snacks, taro chips",100 g,498,25g,6.4g,0,142,7,0,0.438,5,11.34,11.34,18,68.10 g,7.2 g,3.82 g,24.90 g
272,"Prickly pears, raw",100 g,41,0.5g,0.1g,0,43,2,0,0.06,14,0,0,0,9.57 g,3.6 g,0,0.51 g
273,"Fish, raw, haddock",100 g,74,0.5g,0.1g,54,57,17,1.83,0.281,0,0.45,0.45,0.1,0.00 g,0.0 g,0.00 g,0.45 g
274,"Liver cheese, pork",100 g,304,26g,9g,174,17490,5252,24.55,0.47,3,0,0,0,2.10 g,0.0 g,0,25.60 g
275,"Ground turkey, raw",100 g,148,7.7g,2g,69,66,20,1,0.564,0,0.09,0.09,0,0.00 g,0.0 g,0.00 g,7.66 g
276,Jams and preserves,100 g,278,0.1g,,0,0,0,0,0.02,8.8,0.12,0.12,0,68.86 g,1.1 g,48.50 g,0.07 g
277,"Carrots, raw, baby",100 g,35,0.1g,,0,13790,690,0,0.105,2.6,0,0,9.4,8.24 g,2.9 g,4.76 g,0.13 g
278,"Oil, nutmeg butter",100 g,884,100g,90g,0,0,0,0,0,0,0.2,0.2,0,0.00 g,0.0 g,0.00 g,100.00 g
279,"Semolina, enriched",100 g,360,1.1g,0.2g,0,0,0,0,0.103,0,0.26,0.26,0,72.83 g,3.9 g,0,1.05 g
280,"Spices, anise seed",100 g,337,16g,0.6g,0,311,16,0,0.65,21,0,0,0,50.02 g,14.6 g,0,15.90 g
281,"Snacks, corn cakes",100 g,387,2.4g,0.4g,0,242,70,0,0.14,0,0,0,0,83.40 g,1.9 g,23.47 g,2.40 g
282,"Catsup, low sod m",100 g,101,0.1g,,0,527,26,0,0.158,4.1,1.46,1.46,3,27.40 g,0.3 g,21.27 g,0.10 g
283,"Croissants, cheese",100 g,414,21g,11g,57,805,204,0.32,0.073,0.2,1.44,1.44,10.9,47.00 g,2.6 g,11.35 g,20.90 g
284,"Milk, fluid, sheep",100 g,108,7g,4.6g,27,147,44,0.71,0.06,4.2,0,0,0,5.36 g,0.0 g,0,7.00 g
285,"Acerola juice, raw",100 g,23,0.3g,0.1g,0,509,25,0,0.004,1600,0.18,0.18,1.4,4.80 g,0.3 g,4.50 g,0.30 g
286,"Jute, raw, potherb",100 g,34,0.3g,,0,5559,278,0,0.6,37,0,0,0,5.80 g,0,0,0.25 g
287,"Fast food, biscuit",100 g,370,19g,12g,2,60,18,0,0.059,0,0.47,0.47,4.5,42.82 g,2.5 g,3.88 g,18.92 g
288,"Bagels, multigrain",100 g,241,1.2g,,6,2,0,0,0.18,0,0.66,0.66,0.6,47.47 g,6.2 g,8.66 g,1.24 g
289,"Beef, dried, cured",100 g,153,1.9g,1g,79,0,0,1.59,0.386,0,0.38,0.38,1.3,2.76 g,0.0 g,2.70 g,1.94 g
290,"Nuts, almond paste",100 g,458,28g,2.6g,0,0,0,0,0.036,0.1,13.54,13.54,0,47.81 g,4.8 g,36.25 g,27.74 g
291,"Seaweed, raw, kelp",100 g,43,0.6g,0.2g,0,116,6,0,0.002,3,0.87,0.87,66,9.57 g,1.3 g,0.60 g,0.56 g
292,"Seaweed, raw, agar",100 g,26,0g,,0,0,0,0,0.032,0,0.87,0.87,2.3,6.75 g,0.5 g,0.28 g,0.03 g
293,"Fish oil, menhaden",100 g,902,100g,30g,521,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,100.00 g
294,"Rolls, egg, dinner",100 g,307,6.4g,1.6g,50,26,5,0.24,0.053,0,0.36,0.36,2.1,52.00 g,3.7 g,4.30 g,6.40 g
295,"Bread, white wheat",100 g,238,2.2g,0.6g,0,4,0,0,0.08,0,0.38,0.38,7.7,43.91 g,9.2 g,5.00 g,2.15 g
296,"Onions, raw, sweet",100 g,32,0.1g,,0,1,0,0,0.13,4.8,0.02,0.02,0.3,7.55 g,0.9 g,5.02 g,0.08 g
297,"Onions, raw, welsh",100 g,34,0.4g,0.1g,0,1160,0,0,0.072,27,0.51,0.51,193.4,6.50 g,2.4 g,2.18 g,0.40 g
298,"SILK Chai, soymilk",100 g,53,1.4g,0.2g,0,123,0,0.37,0,0,0,0,0,7.82 g,0.0 g,5.76 g,1.44 g
299,"Rolls, rye, dinner",100 g,286,3.4g,0.6g,0,8,0,0,0.062,0,0.34,0.34,3.1,53.10 g,4.9 g,1.17 g,3.40 g
300,"Gravy, dry, au jus",100 g,313,9.6g,2g,4,10,0,0.32,0.174,1,0,0,0,47.49 g,0,0,9.63 g
301,"Cheese, neufchatel",100 g,253,23g,13g,74,841,241,0.3,0.041,0,0.4,0.4,1.7,3.59 g,0.0 g,3.19 g,22.78 g
302,"Hummus, commercial",100 g,166,9.6g,1.4g,0,30,0,0,0.2,0,0,0,0,14.29 g,6.0 g,0,9.60 g
303,"Croissants, butter",100 g,406,21g,12g,67,744,206,0.16,0.058,0.2,0.84,0.84,1.8,45.80 g,2.6 g,11.26 g,21.00 g
304,"Carrot, dehydrated",100 g,341,1.5g,0.3g,0,68466,3423,0,1.04,14.6,5.45,5.45,108,79.57 g,23.6 g,38.82 g,1.49 g
305,"Vinegar, distilled",100 g,18,0g,,0,0,0,0,0,0,0,0,0,0.04 g,0.0 g,0.04 g,0.00 g
306,"Sapote, raw, mamey",100 g,124,0.5g,0.2g,0,143,7,0,0.72,23,2.11,2.11,0,32.10 g,5.4 g,20.14 g,0.46 g
307,"Soy flour, low-fat",100 g,372,8.9g,1.3g,0,40,2,0,1.05,0,0.55,0.55,3.9,30.63 g,16.0 g,9.33 g,8.90 g
308,"Syrups, sugar free",100 g,52,0g,,0,0,0,0,0,0,0,0,0,12.13 g,0.7 g,0.01 g,0.00 g
309,"Syrups, dark, corn",100 g,286,0g,,0,0,0,0,0.009,0,0,0,0,77.59 g,0.0 g,77.59 g,0.00 g
310,"Taco shells, baked",100 g,476,22g,7.1g,0,17,1,0,0.203,0,0.69,0.69,8.6,63.49 g,6.7 g,1.50 g,21.79 g
311,"Spices, cumin seed",100 g,375,22g,1.5g,0,1270,64,0,0.435,7.7,3.33,3.33,5.4,44.24 g,10.5 g,2.25 g,22.27 g
312,"Bamboo shoots, raw",100 g,27,0.3g,0.1g,0,20,1,0,0.24,4,1,1,0,5.20 g,2.2 g,3.00 g,0.30 g
313,"Fish, raw, lingcod",100 g,85,1.1g,0.2g,52,50,15,3.6,0.3,0,0,0,0,0.00 g,0.0 g,0,1.06 g
314,"Whey, dried, sweet",100 g,353,1.1g,0.7g,6,30,8,2.37,0.584,1.5,0.02,0.02,0.1,74.46 g,0.0 g,74.46 g,1.07 g
315,"Whey, fluid, sweet",100 g,27,0.4g,0.2g,2,12,3,0.28,0.031,0.1,0,0,0,5.14 g,0.0 g,5.14 g,0.36 g
316,"Spices, poppy seed",100 g,525,42g,4.5g,0,0,0,0,0.247,1,1.77,1.77,0,28.13 g,19.5 g,2.99 g,41.56 g
317,"Babyfood, pretzels",100 g,397,2g,0.4g,0,8,0,0,0.083,3.8,0.28,0.28,0.3,82.20 g,2.3 g,3.08 g,2.00 g
318,"Fat, mutton tallow",100 g,902,100g,47g,102,0,0,0,0,0,2.8,2.8,0,0.00 g,0.0 g,0.00 g,100.00 g
319,"Coffeecake, cheese",100 g,339,15g,5.4g,85,287,86,0.34,0.058,0.1,0,0,0,44.30 g,1.0 g,0,15.20 g
320,"Sauce, horseradish",100 g,503,51g,8.2g,50,66,17,0.09,0.037,0.2,4.19,4.19,90.9,10.05 g,1.0 g,8.98 g,50.89 g
321,"Yardlong bean, raw",100 g,47,0.4g,0.1g,0,865,43,0,0.024,18.8,0,0,0,8.35 g,0,0,0.40 g
322,"Cress, raw, garden",100 g,32,0.7g,,0,6917,346,0,0.247,69,0.7,0.7,541.9,5.50 g,1.1 g,4.40 g,0.70 g
323,"Dates, deglet noor",100 g,282,0.4g,,0,10,0,0,0.165,0.4,0.05,0.05,2.7,75.03 g,8.0 g,63.35 g,0.39 g
324,"Lambsquarters, raw",100 g,43,0.8g,0.1g,0,11600,580,0,0.274,80,0,0,0,7.30 g,4.0 g,0,0.80 g
325,"Gravy, dry, turkey",100 g,367,7.2g,2g,14,35,8,0.58,0.204,0.2,0,0,0,65.12 g,0,0,7.19 g
326,Vital wheat gluten,100 g,370,1.9g,0.3g,0,0,0,0,0,0,0,0,0,13.79 g,0.6 g,0.00 g,1.85 g
327,"Turnip greens, raw",100 g,32,0.3g,0.1g,0,11587,579,0,0.263,60,2.86,2.86,251,7.13 g,3.2 g,0.81 g,0.30 g
328,"Sugars, granulated",100 g,387,0g,,0,0,0,0,0,0,0,0,0,99.98 g,0.0 g,99.80 g,0.00 g
329,"Frankfurter, pork",100 g,269,24g,8.7g,66,263,79,0.49,0.322,2,0,0,0,0.28 g,0.1 g,0.00 g,23.68 g
330,"Pomegranates, raw",100 g,83,1.2g,0.1g,0,0,0,0,0.075,10.2,0.6,0.6,16.4,18.70 g,4.0 g,13.67 g,1.17 g
331,"Pears, raw, asian",100 g,42,0.2g,,0,0,0,0,0.022,3.8,0.12,0.12,4.5,10.65 g,3.6 g,7.05 g,0.23 g
332,"Cookies, molasses",100 g,430,13g,3.2g,0,0,0,0,0.104,0,0.11,0.11,5.5,73.80 g,1.0 g,17.60 g,12.80 g
333,"Cookies, fig bars",100 g,348,7.3g,1.1g,0,33,9,0.09,0.075,0.3,0.65,0.65,5.8,70.90 g,4.6 g,46.36 g,7.30 g
334,Liverwurst spread,100 g,305,25g,9.9g,118,13636,4091,13.46,0.19,3.5,0,0,0,5.89 g,2.5 g,1.65 g,25.45 g
335,Roast beef spread,100 g,223,16g,6.4g,70,1,0,2.38,0.15,0.2,0,0,0,3.73 g,0.2 g,0.71 g,16.28 g
336,"Chard, raw, swiss",100 g,19,0.2g,,0,6116,306,0,0.099,30,1.89,1.89,830,3.74 g,1.6 g,1.10 g,0.20 g
337,"Goose, raw, liver",100 g,133,4.3g,1.6g,515,30998,9309,54,0.76,4.5,0,0,0,6.32 g,0.0 g,0,4.28 g
338,"TACO BELL, Nachos",100 g,350,22g,2.2g,3,21,5,0.07,0.215,0,4.08,4.08,7.5,34.91 g,3.2 g,2.17 g,21.50 g
339,"Sausage, meatless",100 g,255,18g,2.9g,0,0,0,0,0.828,0,2.1,2.1,0,8.09 g,2.8 g,0.00 g,18.16 g
340,"Frankfurter, meat",100 g,290,26g,7.7g,77,0,0,1.57,0.166,0,0.19,0.19,0,4.17 g,0.0 g,0,25.76 g
341,"Rice flour, brown",100 g,363,2.8g,0.6g,0,0,0,0,0.736,0,0.6,0.6,0,76.48 g,4.6 g,0.66 g,2.78 g
342,"Peppermint, fresh",100 g,70,0.9g,0.2g,0,4248,212,0,0.129,31.8,0,0,0,14.89 g,8.0 g,0,0.94 g
343,"Vinegar, red wine",100 g,19,0g,,0,0,0,0,0,0.5,0,0,0,0.27 g,0.0 g,0.00 g,0.00 g
344,"Vinegar, balsamic",100 g,88,0g,,0,0,0,0,0,0,0,0,0,17.03 g,0,14.95 g,0.00 g
345,"Luxury loaf, pork",100 g,141,4.8g,1.6g,36,0,0,1.37,0.31,0,0,0,0,4.90 g,0.0 g,0,4.80 g
346,"Rye flour, med m",100 g,349,1.5g,0.2g,0,0,0,0,0.268,0,1.43,1.43,5.9,75.43 g,11.8 g,1.10 g,1.52 g
347,"DENNY'S, coleslaw",100 g,183,15g,2.3g,23,707,42,0,0.102,13.2,0.93,0.93,86.1,10.88 g,1.3 g,8.16 g,15.03 g
348,"Bread, wheat bran",100 g,248,3.4g,0.8g,0,0,0,0,0.176,0,0.32,0.32,1.3,47.80 g,4.0 g,9.68 g,3.40 g
349,"Croissants, apple",100 g,254,8.7g,5g,31,380,94,0.2,0.032,0.5,0,0,0,37.10 g,2.5 g,0,8.70 g
350,"Candies, Tamarind",100 g,368,0g,,0,15,1,0,0.032,0,0.05,0.05,1.4,91.96 g,2.5 g,78.57 g,0.00 g
351,"Oheloberries, raw",100 g,28,0.2g,,0,830,42,0,0,6,0,0,0,6.84 g,0,0,0.22 g
352,"PACE, Salsa Verde",100 g,47,1.6g,,0,625,0,0,0,3.8,0,0,0,6.25 g,0.0 g,6.25 g,1.56 g
353,Barley malt flour,100 g,361,1.8g,0.4g,0,19,1,0,0.655,0.6,0.57,0.57,2.2,78.30 g,7.1 g,0.80 g,1.84 g
354,"Rice noodles, dry",100 g,364,0.6g,0.2g,0,0,0,0,0.015,0,0.11,0.11,0,80.18 g,1.6 g,0.12 g,0.56 g
355,"Fish oil, sardine",100 g,902,100g,30g,710,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,100.00 g
356,"Fish oil, herring",100 g,902,100g,21g,766,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,100.00 g
357,"Plantains, cooked",100 g,116,0.2g,0.1g,0,909,45,0,0.24,10.9,0.13,0.13,0.7,31.15 g,2.3 g,14.00 g,0.18 g
358,"Burdock root, raw",100 g,72,0.2g,,0,0,0,0,0.24,3,0.38,0.38,1.6,17.34 g,3.3 g,2.90 g,0.15 g
359,"Butterbur, canned",100 g,3,0.1g,,0,0,0,0,0.033,11.9,0,0,0,0.38 g,0,0,0.13 g
360,"Ostrich, raw, fan",100 g,117,2.7g,1g,73,0,0,4.97,0.513,0,0.2,0.2,0,0.00 g,0.0 g,0.00 g,2.65 g
361,"SILK Nog, soymilk",100 g,74,1.6g,,0,0,0,0,0,0,0,0,0,12.30 g,0.0 g,9.84 g,1.64 g
362,"Gravy, dry, brown",100 g,367,9.6g,3.3g,3,27,8,0.7,0.1,0.3,0,0,0,59.38 g,2.0 g,0,9.61 g
363,"Cheese, provolone",100 g,351,27g,17g,69,880,236,1.46,0.073,0,0.23,0.23,2.2,2.14 g,0.0 g,0.56 g,26.62 g
364,"Cheese, roquefort",100 g,369,31g,19g,90,1047,294,0.64,0.124,0,0,0,0,2.00 g,0.0 g,0,30.64 g
365,"Muffins, oat bran",100 g,270,7.4g,1.1g,0,0,0,0.01,0.161,0,0.66,0.66,13,48.30 g,4.6 g,8.22 g,7.40 g
366,"Syrups, grenadine",100 g,268,0g,,0,0,0,0,0,0,0,0,0,66.91 g,0.0 g,46.55 g,0.00 g
